"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33996","Signup Error Flow - 0","","2026-05-10","broken","2026-05-10","","partnersignup.spec.js","",""
"","1599","TC03 - Create","","2026-05-11","failed","2026-05-11","Coupon API - Create Online Business Coupon","createcoupon.spec.js","",""
"","0","TC02 OFFLINE STORE CREATION WITH OUT ANYY IMAGES","","2026-05-13","skipped","2026-05-13","STORE CREATION FOR BOTH ONLINE AND OFFLINE STORES","onlinestorecreation.spec.js","",""
"","743","Consumer Login API","","2026-05-13","passed","2026-05-13","Authentication Consumer Api","auth.spec.js","",""
"","2483","TC01 DELETE COUPON (handles success + already deleted)","","2026-05-11","failed","2026-05-11","DELETE COUPON FLOW","deletecoupon.spec.js","",""
"","1761","TC04 - Create OFFLINE Coupon Successfully","","2026-05-13","passed","2026-05-13","Coupon API - Create Online Business Coupon","createcoupon.spec.js","",""
"","3161","Get all coupon id associated with account","","2026-05-13","passed","2026-05-13","Coupon API - Create Online Business Coupon","createcoupon.spec.js","",""
"","4238","TC01 DELETE AN EXISTING COUPON","","2026-05-13","passed","2026-05-13","DELETE COUPON FLOW","deletecoupon.spec.js","",""
"","0","coupon delete","","2026-05-13","skipped","2026-05-13","Coupon API - Create Online Business Coupon","createcoupon.spec.js","",""
"","2821","TC01 ONLINE STORE CREATION WITH OUT ANYY IMAGES","","2026-05-13","passed","2026-05-13","STORE CREATION FOR BOTH ONLINE AND OFFLINE STORES","onlinestorecreation.spec.js","",""
"","2703","TC02 OFFLINE STORE CREATION WITH OUT ANYY IMAGES","","2026-05-12","passed","2026-05-12","ONLINE STORE CREATION","onlinestorecreation.spec.js","",""
"","0","ALL STORE FETCH","","2026-05-13","skipped","2026-05-13","STORE CREATION FOR BOTH ONLINE AND OFFLINE STORES","onlinestorecreation.spec.js","",""
"","0","TC03 Online STORE CREATION WITH ANY IMAGES","","2026-05-13","skipped","2026-05-13","STORE CREATION FOR BOTH ONLINE AND OFFLINE STORES","onlinestorecreation.spec.js","",""
"","1250","Partner Login API","","2026-05-10","passed","2026-05-10","Authentication API","auth.spec.js","",""
"","0","Store delete","","2026-05-13","skipped","2026-05-13","STORE CREATION FOR BOTH ONLINE AND OFFLINE STORES","onlinestorecreation.spec.js","",""
"","1654","TC02 - Create Online affiliate Coupon Successfully","","2026-05-13","passed","2026-05-13","Coupon API - Create Online Business Coupon","createcoupon.spec.js","",""
"","4378","TC01 - Create coupon and delete same coupon","","2026-05-11","passed","2026-05-11","COUPON FLOW - CREATE & DELETE","deletecoupon.spec.js","",""
"","31579","Signup Error Flow - 1","","2026-05-10","broken","2026-05-10","","partnersignup.spec.js","",""
"","3","TC01 ONLINE STORE CREATION WITH OUT ANYY IMAGES","","2026-05-12","skipped","2026-05-12","ONLINE STORE CREATION","onlinestorecreation.spec.js","",""
"","1","TC03 - Invalid Coupon Creation","","2026-05-13","skipped","2026-05-13","Coupon API - Create Online Business Coupon","createcoupon.spec.js","",""
"","2554","TC01 - Create Online Coupon Successfully","","2026-05-13","passed","2026-05-13","Coupon API - Create Online Business Coupon","createcoupon.spec.js","",""
"","1523","Partner Login API","","2026-05-13","passed","2026-05-13","Authentication Partner API","auth.spec.js","",""
